文章,发表年份,主题词
智慧医疗平台公共服务供给问题研究.pdf,2023,
基于多维度服务场景的R医院智慧财务体系建设实践.pdf,2022,"['多维度服务', '公立医院', '智慧财务', '业财融合']"
曹县人民医院_以智慧医疗和8S管理为抓手打造人文医疗新高地.pdf,2023,"['人工智能', '机器学习', '数据分析', '算法']"
南昌东湖：打造“5G+智慧”平安医院.pdf,2021,"['5G+智慧', '平安医院', '公安心向党', '护航新征程', '智慧平安医院管理服务平台', '警医联动', '预警防范']"
浅谈“智慧医院”对医院财务管理的影响.pdf,2021,"['智慧医院', '医院', '财务管理']"
兵法智慧启迪运营高质发展维系健康——基于《孙子兵法》的医院运营管理思路.pdf,2023,
基于“互联网+”的综合医院智慧自助服务平台的设计与实现.pdf,2020,"['互联网+', '自助服务', '智慧服务平台', '设计与实现']"
关于医院智慧财务报销模式的探讨.pdf,2020,"['智慧财务', '医院', '财务管理', '报销模式']"
浅谈智慧医保系统在医院管理中的应用.pdf,2023,"['智慧医保', '病种控费', '医保违规', '医疗资源配置']"
面向多院合并场景的信息系统重构实践.pdf,2024,"['公立医院合并', '信息系统融合', '信息化建设']"
5G时代的智慧医院建设问题探讨.pdf,2020,"['5G时代', '智慧医院建设', '问题']"
基于多卡合一的智慧医院就诊流程再造.pdf,2023,"['多卡合一', '智慧医院', '流程再造']"
“智慧医院”背景下智慧后勤综合管理平台的构建.pdf,2020,"['智慧医院', '后勤综合管理平台', '综合管理中心', '可视化', '综合监控', '能源', '设备']"
浅谈智慧医院系统在发热门诊智能化设计中的应用.pdf,2023,"['智慧医院', '发热门诊', '智能化设计']"
新时代监狱建设智慧医院的实践与思考.pdf,2019,"['智慧监狱', '智慧医院', '实践与思考']"
霍尼韦尔数字化医疗信息管理方案助力智慧医院高质量发展.pdf,2021,"['智能楼宇对讲解决方案', '智能家居', '智慧社区', '可视对讲系统', '数字化医疗信息管理', '智慧医院', '低压电气系统解决方案', '智慧校园', '智能配电技术']"
创新一体化管理模式打造智慧型、研究型肿瘤专科医院.pdf,2021,"['一体化管理模式', '公立医院', '肿瘤医院', '专科医院', '智慧型医院', '研究型医院', '医疗质量', '科研转化', '健康中国']"
山东省立医院在健康中国行动中的探索与实践.pdf,2020,"['健康中国行动', '三甲医院', '健康医院']"
疫情加鞭：互联网医院发展驶入快车道.pdf,2020,"['互联网医院', '分级诊疗', '智慧医院', '新基建', '智慧医疗']"
基于All-in-One标准下医院智慧档案管理新模式的探讨.pdf,2023,"['All-in-One', '标准化', '智慧档案', '档案管理']"
AI问诊_刷脸就能看病.pdf,2017,"['智慧医院', '人工智能医生', '刷脸就医', '智能问诊', '智能应急指挥', '智能物流', '智能仓储', '智能配送', '智能影像诊断', '智能机器人']"
山西大同市第三人民医院找准“支点”建设创新型医院.pdf,2019,"['文化建设', '学科发展', '人才竞争力', '智慧医院', '医疗保健', '三级甲等综合医院', '医学中心', '远程医疗', '互联网+医疗健康', '医院信息化']"
以建筑信息模型为内核的智慧医院后勤可视化管理实践.pdf,2023,"['智慧医院', '智慧后勤', '建筑信息模型', '后勤管理', '可视化管理']"
智能机器人在医院数字化管理中的应用_李斌.pdf,2022,"['智能机器人', '物流配送', '医院信息管理HIS']"
推动医院付费的最多跑一次改革.pdf,2018,"['最多跑一次改革', '智慧医院', '智慧医疗', '智慧结算', '床边结账', '自助结账', '诊间结算', '移动结账', '信息技术', '医疗服务']"
C银行智慧医院项目综合后评估研究.pdf,2021,
国家卫生健康委：未来将优化互联网预约诊疗制度和流程.pdf,2020,"['电子病历', '数据质量', '信息系统', '评级', '医院信息化']"
人工智能落地医院探路深度应用_记者__杜康.pdf,2022,"['人工智能', '医院', '医疗AI', '资源使用效率', '患者体验', '数字化转型', '精准医疗', '数据开源', '监督学习', '复合型人才培养']"
公立医院绩效考核背景下医院高质量发展实践探讨.pdf,2023,"['公立医院', '绩效考核', '高质量发展', '实践']"
医院智慧财务会计系统应用潜在的问题及对策.pdf,2021,"['医院', '智慧', '财务', '会计', '系统应用', '信息技术', '社会经济']"
PDCA在推进公立医院智慧化财务系统建设中的应用.pdf,2021,"['财务管理', '智慧化财务系统', '公立医院', '精细化管理', '数据集成', '业财融合', 'PDCA分析法', '信息化建设', '数据标准化', '财务转型']"
上海市公立医院智慧医疗服务管理问题研究.pdf,2023,
“三位一体”智慧医院集团化财务管理问题及对策研究.pdf,2021,"['三位一体', '集团化', '财务管理']"
指尖上的“智慧医院”.pdf,2018,"['智慧医院', '远程医疗', '便民利民', '医疗资源共享', '互联网+医疗']"
公立医院智慧财务赋能高质量发展.pdf,2023,"['公立医院', '智慧财务', '高质量发展', '会计信息化', '医药卫生体制改革', '财务管理', '数字技术', '医院管理', '智慧医疗', '运营管理', '财务数字化转型']"
能源费用托管服务推动医院绿色发展.pdf,2023,
长三角一体化背景下智慧互联网医院建设与实践.pdf,2023,"['长三角一体化', '智慧互联网医院', '区域医疗融合']"
医院手术室麻醉智慧化管理系统的构成及功能浅析.pdf,2023,"['医院管理', '麻醉科', '医院', '手术室信息系统', '智慧化管理']"
基于可视化物联网的公立医院...定资产数字孪生监控平台研究_谢晓蓉.pdf,2022,"['可视化物联网', '固定资产管控', '数字孪生', '监控平台']"
赋能基层提升医卫体系韧性.pdf,2023,"['医疗卫生体系建设', '分级诊疗', '基层医疗卫生服务', '智慧医院', '全科医学', '中医传承']"
常态化疫情防控背景下的公立医院物资智慧管控.pdf,2022,"['疫情防控', '公立医院', '智慧赋能', '物资管理']"
基于医院财务管理的综合智慧对账平台建设探讨.pdf,2021,"['统一对账平台', '财务对账', '财务管理', '智慧财务']"
医院人力成本分析与控制的新视角.pdf,2020,
医疗设备网络安全管理模式的改进研究.pdf,2023,"['医疗设备', '网络安全', '管理模式']"
智慧医院在公立医院高质量发展中的角色与定位.pdf,2022,"['智慧医院', '公立医院高质量发展', '智慧医疗', '智慧服务', '智慧管理']"
谈智慧财务建设对公立医院内部控制影响.pdf,2023,"['公立医院', '智慧财务', '内部控制', '影响', '大数据', '信息技术', '财务管理', '业务融合', '风险控制', '决策支持']"
基于私有云和人工智能的心电系统构建_林思阳.pdf,2022,"['心电图', '云平台', '人工智能', '医院信息化']"
智慧医院财务管理信息化建设探讨.pdf,2022,"['智慧医院', '财务管理', '信息化建设', '互联互通']"
“互联网+”时代智慧医院建设研究.pdf,2020,"['智慧医院', '互联网+', '大数据', '智能化', '物联网技术', '云计算', '智慧医疗', '智慧服务', '智慧管理']"
专科医院人力资源管理中存在的问题及创新策略研究.pdf,2020,"['专科医院', '人力资源', '管理创新', '模式']"
COVID-19疫情背景下医疗物联网的应用现状及建设思路.pdf,2022,"['医疗物联网', '智慧医院', '信息技术', '智能医护']"
“互联网+”时代下智慧医院的建设实践.pdf,2021,"['互联网+', '智慧医院', '医院信息化']"
公立医院智慧化固定资产财务管控业务流程构建的探讨.pdf,2020,"['固定资产', '智慧化', '财务管控', '业务流程']"
智慧医院背景下公立医院的固定资产管理现状及分析.pdf,2021,"['固定资产', '资产报废', '智慧医院', '大数据', '轻资产']"
基于微信平台的智慧医疗系统设计与应用.pdf,2021,"['微信平台', '智慧医疗', '门诊预约挂号', '医生端移动查房']"
电气火灾自动灭火装置在智慧医院中的应用.pdf,2022,"['智慧医院', '电气火灾', '配电箱', '自动灭火装置']"
download.pdf,2021,"['人工智能', '结核病诊断', '放射医生', '胸部X线检查', '卷积神经网络']"
山东省大力推进“互联网+医疗健康”示范省建设.pdf,2020,"['数据治理', '健康医疗大数据', '互联网+', '数据共享', '医疗数据安全', '智慧医疗']"
山东省泰安市中心医院做新时代医疗“挑山工”.pdf,2019,"['医院发展', '新愿景', '求是', '创新', '美好', '幸福', '医疗服务质量', '智慧医疗', '远程诊疗', '惠民政策']"
数字化驱动公共服务均等化研究.pdf,2020,
智慧医疗背景下医院门诊结算报表的设计与运用.pdf,2022,"['智慧医疗', '医院门诊结算报表', '医院内部控制']"
建一家真正的智慧医院，上海迎来好时机.pdf,2019,"['智慧医院', '人工智能', '医疗', '上海', '经济增长极', '互联网', '智慧医疗', '产业变革']"
“BAT全覆盖”智慧医院的探索与实践.pdf,2023,"['人工智能', '机器学习', '深度学习', '数据分析', '算法']"
基于数据集成平台的医院智能报表系统的构建.pdf,2020,"['数据集成平台', '智慧医院', '智能报表系统', '商业智能报表工具']"
智慧医院信息系统技术架构设计.pdf,2020,"['智慧医院', '信息系统', '技术架构设计', '云平台技术', '5G技术', '网络安全系统', '互联网业务系统', '物联网系统', '大数据平台', '内网系统']"
公立医院智慧后勤管理体系建设研究与实践.pdf,2024,"['智慧医院', '智慧后勤', '智慧管理']"
新冠肺炎疫情防控态势下的医院智慧运维监控平台设计与实现.pdf,2021,"['疫情防控', '智慧运维', '监控平台']"
“十四五”期间医院信息化建设发展的若干思考.pdf,2021,"['医院信息化', '智慧医院', '互联互通']"
掌上智慧医院系统应用研究.pdf,2022,
浅谈医院财务会计转型为管理会计的策略.pdf,2023,"['医院', '财务会计', '管理会计']"
基于物联网视角探索医院智慧化建设——评《“互联网+”时代智慧医院建设》.pdf,2017,"['物联网', '智慧医院', '互联网+', '医院管理', '现代化建设', '科技化', '隐私安全', '运维安全', '转型升级', '信息化']"
微信公众平台在医院科研档案精细化智慧管理中的应用探索.pdf,2021,"['科研档案', '微信公众平台', '智慧管理']"
中国科大附一院推进医疗健康服务同质化.pdf,2019,"['医院', '服务型', '党组织']"
基于物联感知的智慧医疗云系统.pdf,2020,"['智慧医疗', '物联感知', '云计算', '数据分析', '5G技术', '边缘计算', '物联网云化', '大数据', '人工智能', '医疗资源配置', '医疗系统', '医疗数据']"
智慧医院建设改善患者就医体验的研究.pdf,2019,
大型公立医院智慧党建信息化平台的建设与思考.pdf,2023,"['公立医院', '智慧党建', '信息化平台']"
移动互联下的医疗服务模式变革.pdf,2018,"['互联网+医疗健康', '移动互联', '医疗服务模式变革', '医院信息化建设', '人工智能', '智慧医院', '精细化管理', '医疗健康']"
浅谈物联网在智慧医院建设中的应用.pdf,2016,"['物联网', '智慧医院', '应用']"
智慧物联动环监控平台及智能PDU深度开发在医疗混合云数据中心的创新应用——以广州市番禺区中心医院为例.pdf,2023,"['智能', '动环', '监控平台', '智能电源分配单元', '医疗混合云']"
智慧医院门诊无纸化的探索与实践.pdf,2018,"['智慧医院', '无纸化', '探索', '实践', '就医流程']"
信息化赋能智慧医院建设的意义和路径.pdf,2018,"['智慧医院', '信息化', '大数据', '电子病历', '临床决策支持系统', '精细化管理', '信息安全', '顶层设计', '互联网+', '患者中心']"
疫情常态防控下公立医院智慧财务工作的探索.pdf,2021,"['智慧财务', '疫情防控', '公立医院']"
综合性医院门诊就诊服务改善研究.pdf,2021,
内部控制精细化在公立医院智慧财务体系建设中的应用.pdf,2023,"['智慧财务', '内部控制', '精细化管理', '公立医院']"
智慧化临床用血管理系统密码应用实践_李锋.pdf,2023,"['智慧医疗', '输血信息系统', '密码应用']"
基于第三方支付的门急诊多元化自助支付模式的应用——以上海R医院为例.pdf,2020,"['第三方支付', '多元化', '自助支付']"
超融合架构技术在智慧化医院建设中的应用实践.pdf,2022,"['超融合架构技术', '智慧化医院', '信息化建设']"
互联网+时代智慧医院档案管理的实施困境与优化策略——以浙江省肿瘤医院档案信息化建设为例.pdf,2021,
基于智慧医院建设背景下档案数字化实现路径.pdf,2023,"['智慧医院', '档案数字化', '医疗信息化', '数据隐私', '质量控制']"
“互联网+”时代智慧医院建设的路径探究.pdf,2021,"['互联网+', '智慧医院', '信息技术', '医疗服务', '物联网', '云计算', '大数据', '政府政策', '法律法规', '资源整合', '医疗应用管理']"
智慧医院发展的新契机——论物联网技术为医疗带来的巨大变革.pdf,2014,"['医疗物联网', '智慧医院', '信息化建设', '智能医院', '医疗安全管理', '物联网技术', '医院管理', '医疗资源配置', '医疗设备管理', '医疗信息化']"
东华医为：实现应急情况IT系统快速上线.pdf,2020,"['东华医为', '医疗信息化', '智慧医院', '互联网医疗', 'IT系统快速上线', '新冠肺炎数据查询', '智慧医疗', '互联网+医疗', '健康乐新型肺炎服务平台', '互联网医院生态系统', '国家全民健康保障信息平台', '智慧健康大脑', 'iMedical Cloud云生态系统', '智慧健康生态平台']"
智慧医院建设筹划策略.pdf,2019,"['智慧医院', '智能建筑', '信息化', '智能化', '医疗设备', '医院管理', '数据处理', '物联网', '大数据云平台', '互联网+']"
后疫情时代综合医院建设发展的思与变.pdf,2021,"['后疫情时代', '医院建设', '互联网医疗', '智慧医院', '韧性医院', '医联体', '全生命周期']"
基于诊疗推荐知识库的医院端DRG智慧管理系统.pdf,2023,"['疾病诊断相关分组', '智慧管理', '质量管理', '知识库']"
基于“互联网+”医院-社区-家庭三位一体伤口造口智慧护理服务模式的构建.pdf,2019,"['伤口造口护理', '互联网+医疗', '智慧护理服务模式', '社区医疗', '分级诊疗', '护理管理创新']"
高质量发展背景下智慧医院建设的关键问题及对策.pdf,2022,"['智慧医疗', '智慧医院', '信息化建设', '高质量发展']"
医院智慧病房建设整体解决方案.pdf,2023,"['智慧病房', '病房建设', '护理业务', '患者服务']"
人工智能时代下医院财务人员转型的思考_潘满红.pdf,2021,"['人工智能', '财务', '管理', '转型', '大数据']"
应用大数据进行智慧医院的管理探讨.pdf,2021,"['大数据', '智慧医院', '管理现状', '改进措施']"
智慧医院建设中大型医疗设备管理问题研究.pdf,2019,"['智慧医院', '医疗设备', '设备管理', '管理方法']"
智慧医院数据中心机房设计与规划.pdf,2017,"['智慧医院', '数据中心机房', '设计与规划', '机房建设', '供配电系统', '防雷接地系统', '精密空调系统', '新排风系统', '消防系统', '环境监控系统', '综合布线系统', 'KVM系统']"
用发展眼光建设智慧城市.pdf,2015,"['智慧城市', '发展眼光', '科技', '互联网+', '城市管理', '宜居', '民众幸福', '信息社会']"
雄安宣武医院封顶智慧医疗样板奠基.pdf,2021,"['雄安宣武医院', '智慧医疗', '京津冀协同发展', '三级甲等医院', '医疗健康保障', '医疗综合体', '智能建造技术', '智慧工地']"
数字经济时代下A民营医院智慧医院发展战略研究.pdf,2023,
既有医疗场所物联网改造工程技术热点解析.pdf,2020,"['物联网', '既有医疗场所', '改造', '技术热点', '国标图集', '设计模式', '智慧医院', 'IOT协同运营平台']"
智慧医院互联网便民惠民服务建设实践.pdf,2023,"['智慧医院', '互联网', '智慧服务', '高质量发展']"
"智慧医养服务,助推大健康产业发展——2019医养大健康发展论坛暨第三届医院物业、养老企业联盟年会在天津举办.pdf",2019,"['医养大健康', '医院物业服务', '养老企业联盟', '智慧医养服务', '标准化工作', '科技赋能', '行业合作', '后勤管理', '养老地产', '智慧物业']"
基于实战化安全运营的智慧医院网络安全保护体系构建与应用_63D900E425F73969E62AE1DA6486CD5F.pdf,2023,"['智慧医院', '实战化', '态势感知', '安全运营', '网络安全体系']"
智慧口腔医疗与智慧口腔医院_1.pdf,2020,"['口腔医疗', '智慧口腔医疗', '口腔医院', '智慧口腔医院', '口腔医学', '信息化', '物联网', '人工智能', '医疗模式', '数字化网络', '口腔诊疗', '医疗信息化']"
行业视点.pdf,2015,"['医疗卫生服务体系规划', '乡镇卫生院建设', '国产医疗设备遴选', '医疗卫生机构信息公开', '政府和社会资本合作模式', '行政许可事项公开', '养老中心建设', '区域医疗中心建设', '中医药健康服务规划', '社会办医', '智慧医院建设', '医院与养老院合作', '医疗中心建设', '中医药发展', '医疗资源配置', '电子病历系统', '微针胶囊', '颅内压测量设备', '仿生镜片']"
开启医疗新基建智慧升级进行时.pdf,2020,"['新基建', '医疗卫生', '智慧医院', '疫情防控', '智慧升级', '数字化时代', '智慧医疗', '医疗新基建', '智慧医院建设', '互联网医院', '医疗技术', '医疗设备', '医疗质量', '医疗安全', '医疗信息化', '医疗管理', '医疗发展', '医疗挑战', '医疗机遇']"
深圳市儿童医院携手IBM实现智慧医院跨越式发展.pdf,2014,"['IBM集成平台', '商业智能分析系统', '智慧医院', '大数据', '数据集成', '医疗信息化', '智能分析', '医疗决策支持', '墨仓式打印机', '无线打印技术']"
常态化疫情防控下医院运营管理信息化实践——以E医院推进智慧财务为例.pdf,2022,"['公立医院', '运营管理', '信息化', '常态化疫情防控']"
太仓市第一人民医院：医用耗...信息化建设引领科室医耗变革_何亨.pdf,2020,"['医用耗材', 'SPD信息化建设', '医院管理', '三级库房管理', '智慧医院', '互联网+医疗']"
智慧医院管理机制问题研究.pdf,2023,
医院智慧服务分级评估标准体系（试行）.pdf,2019,"['远程心电会诊系统', '慢病管理', '大数据平台', '互联网+医疗', '分级诊疗', '智能产品', '健康管理数据', '医疗资源分配']"
基于信创技术的智慧门诊建设探索.pdf,2023,"['信创', '智慧门诊', '互联网医院']"
基于物联网技术的智慧医院系统设计.pdf,2023,"['物联网技术', '智慧医院', '信息化管理']"
建设基于中台架构的儿童专科智慧服务医院.pdf,2023,"['医院高质量发展', '微服务', '中台', '智慧服务']"
基于HIE信息平台的手术麻醉信息平台设计与应用.pdf,2020,"['手术麻醉', '信息平台', '医疗质量', '数据采集', '数据中心']"
Research on the Practice of Innovative Medical Service Mode in the Construction of Smart Hospital——taking the MyBaby blockchain project of Renji Hospital as an example.pdf,2021,"['智慧医院', '区块链', '医疗服务模式']"
HX医院智慧结算信息系统建设管理研究.pdf,2020,
人工智能在医院感染领域中应用的文献计量学分析_刘敏.pdf,2024,"['医院感染', '人工智能', '文献计量分析', 'CiteSpace']"
BGP技术在智慧医院网络中的应用.pdf,2023,"['人工智能', '机器学习', '深度学习', '数据分析']"
人工智能技术对公立医院内部审计转型的机遇与挑战_陈朝晖__.pdf,2023,"['人工智能', '公立医院', '内部审计', '数字化转型', '数据安全', '风险管理', '投入产出']"
新形势下我国医院智慧药学的发展与应用研究.pdf,2023,"['智慧药学', '药品', '供应保障', '药学服务', '药事管理']"
公立医院智慧财务实现路径研究.pdf,2023,"['智慧财务', '公立医院', '线上报销']"
智慧视频监控在智慧医院建设中的设计与应用.pdf,2022,"['智慧视频监控', '智慧医院', '第五代移动通信技术', '人工智能', '建筑信息模型', '物联网', '大数据', '三维视频融合']"
公立医院智慧财务建设对策及路径探索.pdf,2022,"['公立医院', '智慧财务', '建设', '措施']"
现代科技在医院危机管理中的应用探索.pdf,2020,"['现代科技', '智慧医院', '危机管理', '应用探索']"
广东省二医：打造全场景智能医院.pdf,2021,"['全场景智能医院', '智慧医疗', '5G技术', '人工智能', '智慧大脑', '信息化建设', '患者体验', '医疗质量', '医院管理', '智慧病房']"
公立医院的智慧财务报销路径.pdf,2024,"['公立医院', '智慧财务报销', '财务管理']"
四川省人民医院输血科的智慧.pdf,2018,"['输血安全', '输血管理', '稀有血型', '输血反应', '床旁血库系统', '输血技术规范', '输血医学实验室质量管理', '临床用血管理', '输血安全警示卡', '输血科']"
社区卫生服务中心智慧医院建设的设计.pdf,2018,"['社区卫生服务中心', '智慧门诊', '构建策略', '网络平台设计', '智慧医院网络安全', '信息化']"
BIM技术在智慧医院建设中的应用与思考.pdf,2019,"['BIM技术', '智慧医院', '全生命周期管理', '数字化', '可视化呈现']"
智慧医院背景下财务RPA机器人的应用研究——以S医院为例.pdf,2024,"['智慧医院', '智慧财务', 'RPA机器人', '自动化']"
我院建设中门诊就诊流程优化的对比研究.pdf,2018,"['智慧医院', '互联网技术', '流程优化', '门诊就诊', '患者满意度']"
"重磅!共六级,医院智慧服务分级评估标准体系来了!.pdf",2019,"['e-Healthcare', '智慧医院', '智慧服务分级评估标准体系', '信息化建设', '医疗服务', '患者就医体验', '全生命周期健康管理']"
医院真实世界数据治理平台建设探索.pdf,2022,"['数据治理', '真实世界数据', '智慧医院']"
让医保和医院智慧互联.pdf,2020,"['医保', '医院', '信息化建设', '智慧互联', '数据采集', '统计分析', '跨省异地就医', '医保外联信息系统', '医疗保障信息平台']"
基于内生安全的智慧医院网络安全体系重构.pdf,2023,"['网络安全', '内生安全', '外生安全', '等保测评']"
基于智慧物联网的高值医用耗材二级库管理模式实践——以内蒙古自治区人民医院为例.pdf,2023,"['高值耗材', '全生命周期', '智能化', '二级库', '耗材管理', '手术室']"
大数据和人工智能背景下公立医院财务转型研究_耿蕙至.pdf,2020,"['大数据', '人工智能', '公立医院', '财务转型', '财务价值']"
基于CiteSpace可视化分析我国医院智慧药学现状.pdf,2023,"['CiteSpace', '可视化分析', '智慧药学', '知识图谱']"
浅谈医疗信息化现状和智慧医疗.pdf,2016,"['医疗信息化', '智慧医疗', '云计算', '大数据', '智慧医院', '区域智慧医疗', '家庭自助健康监控']"
基于精益管理提升儿童专科医院智慧门诊服务水平.pdf,2020,"['智慧门诊', '优化流程', '精益管理', '儿童专科', '医院', '服务水平']"
门诊就医流程优化实践.pdf,2019,"['门诊就医流程优化', '医院信息平台', '智慧医院']"
智慧医疗的发展现状与未来.pdf,2021,"['智慧医疗', '人工智能', '大数据', '物联网', '云计算']"
数字化转型背景下医院智慧财务管理应用探析_苏静 (2).pdf,2024,"['数字化转型', '医院智慧财务管理', '数字化工具']"
让智慧医院为“健康苏州”增添新力量——访苏州市卫生计生委副主任、苏州科技城医院院长沈洁.pdf,2017,"['智慧医院', '健康苏州', '医疗资源', '智慧服务', '科教强院', '医学中心', '医疗联合体', '医疗卫生服务能力']"
建智慧医院打造医疗服务新模式.pdf,2021,"['智慧医院', '医疗服务新模式', '互联网+', '人工智能', '精准化门诊就医平台', '健康教育新模式', '全预约管理', '精细化分时段预约']"
基于智慧血液管理平台的医院储血设备精细化管理探索.pdf,2023,"['智慧血液', '储血设备', '精细化管理', '血液质量', '血液安全']"
智慧医院背景下的医院采购管理系统建设.pdf,2023,"['智慧医院', '采购管理', '系统架构']"
医院业财融合下的智慧财务管理探讨.pdf,2022,"['医院', '业财融合', '智慧财务管理']"
民营医院智慧化换道超车机遇.pdf,2017,"['民营医院', '智慧化', '信息化建设', '工业4.0', '健康4.0', '换道超车', '医疗IT人才']"
电子档案在智慧医院建设中存在的问题和对策研究.pdf,2023,"['智慧医院', '电子档案', '信息化建设', '医疗服务效率', '医疗服务质量', '医疗事故风险', '医院管理水平', '医疗信息化发展', '电子档案管理', '信息安全', '数据管理', '标准化管理', '人员素质']"
智慧医院医用气体工程的设计.pdf,2018,"['智慧医院', '医用气体工程', '智能化系统', '医用传呼对讲系统']"
智慧医院下会计信息化建设对策.pdf,2023,"['智慧医院', '会计信息化', '系统集成', '技术更新换代', '成本控制', '数据安全', '信息共享平台', '数字化审计技术']"
多网融合技术在智慧医院计算机网络中的应用_柳孝崧.pdf,2024,"['多网融合', '智慧医院', '计算机网络']"
融媒体时代医院网络舆情管理问题研究.pdf,2020,
患者安全目标：智慧医院建设中的网络安全风险.pdf,2020,"['智慧医院', '网络安全', '安全风险', '信息化建设']"
智能化医院的兴起：5G+智慧医疗.pdf,2021,"['5G', '智慧医疗', '远程医疗', '移动医疗', '物联网', '大数据', '人工智能', '医疗信息化', '医疗设备', '医疗管理']"
智慧医院信息化运维管理的研究与应用.pdf,2022,"['智慧医院', '信息化运维', '运维闭环', '疫情应用']"
智慧医院建设中个人信息保护方式的探讨.pdf,2022,"['智慧医院', '电子病历', '医院信息化', '个人信息保护']"
2019年《医学信息学杂志》编辑出版重点选题计划.pdf,2019,"['医药卫生体制改革', '医药卫生信息化', '互联网+医疗健康', '医疗服务', '公共卫生服务', '医疗保障体系', '医疗卫生信息标准化', '智慧医院', '智慧医疗服务', '医疗人工智能', '健康智能设备', '健康医疗大数据', '家庭医生签约', '精准医学', '个性化医疗', '物联网', '远程医疗服务', '健康管理', '医疗云平台', '医疗联合体', '网络安全体系', '医学信息学基础理论', '医学科技创新', '公民健康素养', '医学智库', '医药卫生数据分析', '医学信息组织', '医学信息利用', '医学图书馆', '医学信息教育', '医学信息素养', '医疗健康教育培训', '健康科普知识']"
医院档案信息化建设存在的问题与应对策略.pdf,2020,
"温良笃行,智慧微创——奋进中的福建省立医院南院泌尿外科.pdf",2023,"['气候变化', '环境保护', '可持续发展']"
实施基于数字化、智能化、标准化医院智慧后勤管理经验.pdf,2022,"['数字化', '智能化', '标准化', '医院智慧后勤管理', '能源设备管理', '节能寻优控制', 'VR虚拟现实技术', '物联网', '大数据', '云计算', '人工智能', '设备运维管理', '安全预警', '能源利用效率', '运维效率']"
新医改形势下基层医院建筑与装备的发展需求研究(十一)——“智慧医院”理念在医院建设中的探索与实践.pdf,2018,"['智慧医院', '物联网', '大数据', '体系架构']"
互联网医院加速落地.pdf,2019,"['互联网医院', '政策影响', '公立医院', '智慧医院', '互联网+医疗', '医疗健康服务', '医保支付政策']"
浅谈智慧医院建设中网络安全实践经验——以苏州市中医医院为例.pdf,2024,"['智慧医院', '信息化建设', '网络安全']"
基于智慧财务体系下的公立医院内部财会监督探索实践.pdf,2023,"['财会监督', '智慧财务', '内部控制', '公立医院']"
我国互联网医院运营策略探析.pdf,2021,"['互联网医院', '运营策略', '运营管理', '智慧医院']"
智慧医保病种控费系统在医院管理中的应用研究.pdf,2020,"['互联网+', '智慧医保', '病种控费', '医保违规']"
基于BIM的医院智慧消防系统探究.pdf,2020,"['BIM', '智慧', '消防系统', '救援']"
军队智慧医院探索.pdf,2019,"['智慧医院', '信息技术', '体系架构']"
临床医生对医院信息化建设的理解.pdf,2019,"['医院信息化建设', '临床需求', '就医体验', '医患关系']"
新冠疫情后医院建筑的发展动向.pdf,2021,"['新冠疫情', '医院', '医院建筑', '发展趋势', '公共卫生体系', '智慧医院', '医护工作环境']"
人工智能时代医院信息化建设问题研究_高长奎.pdf,2022,"['智能时代', '医院', '信息化建设', '挑战', '医疗服务']"
精密空调控制系统在医院绿色数据中心的应用.pdf,2018,"['精密空调控制系统', '机房节能', '绿色节能']"
以个性化为切入点打造“健康”的智慧医院.pdf,2019,"['智慧医院', '个性化', '智慧', '医院建设', '智慧医院建设参考架构', '智慧医院建设方法', '智慧医院技术架构', '智慧医院基本特征', '智慧医院构成元素', '智慧医院建设需求评估', '智慧医院集成交付', '智慧医院竣工验收', '智慧医院安全保障体系', '智慧医院生命支撑体系', '智慧医院信息化IT系统', '智慧医院物联网', '智慧医院智能化技术', '智慧医院互联网应用', '智慧医院技术导航研讨会', '智慧医院辅助设计', '智慧医院自动化', '智慧医院智能化', '智慧医院中间件应用集成平台']"
5G网络技术在医院信息化建设中应用.pdf,2021,"['5G网络技术', '医院信息化建设', '智慧医疗', '远程会诊', '应急救援', '远程手术', '智慧医院管理']"
智慧医疗方案在医院的应用_杨锐.pdf,2020,"['智慧医疗', '互联网', '物联网']"
公立医院智慧财务发展的研究与探索.pdf,2021,"['公立医院', '智慧财务', '财务管理', '数据平台', '财务信息系统', '财务效率', '财务人才']"
基于大数据和云计算构建医院数据中心的“新丝路”.pdf,2017,"['大数据', '云计算', '医院数据中心']"
"国务院办公厅发布关于推动公立医院高质量发展的意见,提出强化信息化支撑作用.pdf",2021,"['康复医疗信息化', '康复医疗工作发展', '康复医疗信息化建设', '云计算', '大数据', '物联网', '智慧医疗', '移动互联网', '网络安全等级保护制度', '远程医疗', '公立医院高质量发展', '信息化支撑作用', '电子病历', '智慧服务', '智慧管理', '智慧医院建设', '医院信息标准化建设', '远程医疗', '互联网诊疗', '智能医疗设备', '智能辅助诊疗系统', '药品追溯制度', '处方信息', '药品零售消费信息']"
浅谈“智慧医院”对医院财务管理的影响1.pdf,2022,"['智慧医疗', '财务管理', '财务人员素质', '信息化', '医院管理', '数字化']"
物联网技术在智慧医院的具体应用研究.pdf,2018,"['物联网技术', '医院信息化', '智慧医院', '无线传感技术', 'RFID', '大数据技术', '云计算技术', '嵌入式技术', '药品智慧化管理', '远程医疗智能化']"
微信智慧医院应用初探.pdf,2016,"['微信', '智慧医院', '移动医疗', '公众号', '微信支付', '患者流管理', '健康管理', '医院品牌']"
